Date,FB,AMZN,AAPL,GOOG
8/16/2013,37.08,284.82,71.76,428.026
8/19/2013,37.81,285.57,72.53,432.39
8/20/2013,38.41,287.09,71.58,432.28
8/21/2013,38.32,284.57,71.77,434.23
8/22/2013,38.55,289.73,71.85,436.42
8/23/2013,40.55,290.01,71.57,434.67
8/26/2013,41.34,286.21,71.85,432.76
8/27/2013,39.64,280.93,69.8,424.65
8/28/2013,40.548,281.58,70.128,423.85
8/29/2013,41.28,283.98,70.24,427.29
8/30/2013,41.294,280.98,69.602,423.03
9/3/2013,41.87,288.8,69.8,429.76
9/4/2013,41.78,293.64,71.242,435.381
9/5/2013,42.66,294.1,70.75,439.34
9/6/2013,43.95,295.86,71.17,439.35
9/9/2013,44.04,299.71,72.31,443.583
9/10/2013,43.6,300.36,70.66,443.8907
9/11/2013,45.04,299.64,66.8157,447.65
9/12/2013,44.75,298.86,67.53,446.085
9/13/2013,44.31,297.92,66.4143,444.089
9/16/2013,42.51,296.06,64.3029,443.44
9/17/2013,45.07,304.17,65.05,442.612
9/18/2013,45.23,312.034,66.38,451.2083
9/19/2013,45.98,312.06,67.47,448.75
9/20/2013,47.49,316.34,66.77,451.1
9/23/2013,47.19,311.49,70.09,442.81
9/24/2013,48.45,314.13,69.87,442.98
9/25/2013,49.46,312.65,68.79,438.18
9/26/2013,50.39,318.12,69.46,438.65
9/27/2013,51.24,316.01,68.96,437.76
9/30/2013,50.23,312.64,68.107,437.52
10/1/2013,50.42,320.95,69.709,443.058
10/2/2013,50.28,320.51,69.94,443.551
10/3/2013,49.183,314.76,69.0586,437.61
10/4/2013,51.04,319.04,69,435.7388
10/7/2013,50.515,310.03,69.68,432.44
10/8/2013,47.14,303.23,68.71,426.41
10/9/2013,46.77,298.23,69.513,427.5
10/10/2013,49.05,305.174,69.948,433.69
10/11/2013,49.11,310.889,70.402,435.56
10/14/2013,49.51,310.7,70.86,437.62
10/15/2013,49.5,306.4,71.24,440.56
10/16/2013,51.135,310.49,71.588,448.565
10/17/2013,52.21,310.77,72.07,443.953
10/18/2013,54.22,328.931,72.7,505.1983
10/21/2013,53.85,326.44,74.48,501.15
10/22/2013,52.675,332.54,74.2668,502.996
10/23/2013,51.9,326.756,74.99,515.1878
10/24/2013,52.445,332.21,75.99,512.26
10/25/2013,51.95,363.39,75.137,507.09
10/28/2013,50.229,358.16,75.697,506.992
10/29/2013,49.395,362.7,73.811,517.6
10/30/2013,49.01,361.08,74.985,514.69
10/31/2013,50.205,364.03,74.672,514.7747
11/1/2013,49.75,359.002,74.29,513.0065
11/4/2013,48.22,358.74,75.25,512.54
11/5/2013,50.105,358.892,75.064,510.25
