Date,AAPL,GOOG
9/25/2013,68.79,438.18
9/26/2013,69.46,438.65
9/27/2013,68.96,437.76
9/30/2013,68.107,437.52
10/1/2013,69.709,443.058
10/2/2013,69.94,443.551
10/3/2013,69.0586,437.61
10/4/2013,69,435.7388
10/7/2013,69.68,432.44
10/8/2013,68.71,426.41
10/9/2013,69.513,427.5
10/10/2013,69.948,433.69
10/11/2013,70.402,435.56
10/14/2013,70.86,437.62
10/15/2013,71.24,440.56
10/16/2013,71.588,448.565
10/17/2013,72.07,443.953
10/18/2013,72.7,505.1983
10/21/2013,74.48,501.15
10/22/2013,74.2668,502.996
10/23/2013,74.99,515.1878
10/24/2013,75.99,512.26
10/25/2013,75.137,507.09
10/28/2013,75.697,506.992
10/29/2013,73.811,517.6
10/30/2013,74.985,514.69
10/31/2013,74.672,514.7747
11/1/2013,74.29,513.0065
11/4/2013,75.25,512.54
11/5/2013,75.064,510.25
11/6/2013,74.42,510.86
11/7/2013,73.213,503.47
11/8/2013,74.37,507.51
11/11/2013,74.15,504.79
11/12/2013,74.29,505.38
11/13/2013,74.376,515.72
11/14/2013,75.45,517.1
11/15/2013,74.999,516.263
11/18/2013,74.09,515.2592
11/19/2013,74.22,512.089
11/20/2013,73.57,510.64
11/21/2013,74.448,516.52
11/22/2013,74.26,515.4291
11/25/2013,74.82,522.442
11/26/2013,76.2,528.676
11/27/2013,77.9943,531.02
11/29/2013,79.44,529.27
12/2/2013,78.7471,526.71
12/3/2013,80.903,526.1
12/4/2013,80.71,528.56
12/5/2013,81.1287,528.14
12/6/2013,80,534.4
12/9/2013,80.9186,538.53
12/10/2013,80.79,541.79
12/11/2013,80.19,538.11
12/12/2013,80.08,534.45
12/13/2013,79.2,529.865
12/16/2013,79.6429,535.95
12/17/2013,79.284,534.4
12/18/2013,78.68,541.83
12/19/2013,77.78,542.57
12/20/2013,78.4314,549.7597
12/23/2013,81.44,556.9924
12/24/2013,81.1,555.36
12/26/2013,80.557,558.17
12/27/2013,80.01,558.64
12/30/2013,79.217,554.18
12/31/2013,80.15,559.79
1/2/2014,79.019,556.0034
1/3/2014,77.28,551.95
1/6/2014,77.7,558.1
1/7/2014,77.1482,568.8593
1/8/2014,77.64,570.04
1/9/2014,76.6456,564.55
1/10/2014,76.13,564.52
1/13/2014,76.53,560.9285
1/14/2014,78.06,574.13
1/15/2014,79.62,573.74
1/16/2014,79.18,577.532
1/17/2014,77.24,574.69
1/21/2014,78.44,581.27
1/22/2014,78.7871,581.93
1/23/2014,79.4543,579.47
1/24/2014,78.01,561.353
1/27/2014,78.64,550.06
1/28/2014,72.36,560.943
1/29/2014,71.54,552.91
1/30/2014,71.397,567.129
1/31/2014,71.51,589.89
2/3/2014,71.65,566.148
2/4/2014,72.68,568.51
2/5/2014,73.2271,571.03
2/6/2014,73.22,579.4
2/7/2014,74.24,588.131
2/10/2014,75.57,585.88
2/11/2014,76.57,594.4949
2/12/2014,76.56,592.75
2/13/2014,77.78,599.35
2/14/2014,77.7129,600.8
2/18/2014,78,604.83
2/19/2014,76.77,600.569
2/20/2014,75.88,601.453
2/21/2014,75.0357,601.293
2/24/2014,75.3643,605.65
2/25/2014,74.58,609.39
2/26/2014,73.91,609.47
2/27/2014,75.38,608.995
2/28/2014,75.18,607.22
3/3/2014,75.39,600.74
3/4/2014,75.89,606.85
3/5/2014,76.05,608.521
3/6/2014,75.8214,609.195
3/7/2014,75.78,606.7876
3/10/2014,75.8457,605.1792
3/11/2014,76.58,599.395
3/12/2014,76.66,603.05
3/13/2014,75.81,593.94
3/14/2014,74.96,585.81
3/17/2014,75.25,595.45
3/18/2014,75.9143,605.02
3/19/2014,75.89,599.03
3/20/2014,75.53,597.9814
3/21/2014,76.12,590.93
3/24/2014,77.03,578.39
3/25/2014,77.86,578.7806
3/26/2014,77.11,565.42
3/27/2014,76.78,556.58
3/28/2014,76.6943,559.51
3/31/2014,76.68,556.7
4/1/2014,77.38,566.88
4/2/2014,77.51,566.9824
4/3/2014,76.97,569.74
4/4/2014,75.97,543.14
4/7/2014,74.78,538.15
4/8/2014,74.7771,554.9
4/9/2014,75.76,564.14
4/10/2014,74.78,540.95
4/11/2014,74.23,530.6
4/14/2014,74.53,532.52
4/15/2014,73.9943,536.44
4/16/2014,74.1443,556.54
4/17/2014,74.99,536.1
4/21/2014,75.88,528.62
4/22/2014,75.957,534.81
4/23/2014,74.96,526.94
4/24/2014,81.11,525.16
4/25/2014,81.71,516.18
4/28/2014,84.87,517.15
4/29/2014,84.62,527.7
4/30/2014,84.3,526.66
5/1/2014,84.5,531.35
5/2/2014,84.65,527.93
5/5/2014,85.85,527.81
5/6/2014,84.9157,515.14
5/7/2014,84.62,509.96
5/8/2014,84,511
5/9/2014,83.6489,518.73
5/12/2014,84.69,529.92
5/13/2014,84.82,533.09
5/14/2014,84.84,526.65
5/15/2014,84.12,519.98
5/16/2014,85.36,520.63
5/19/2014,86.37,528.86
5/20/2014,86.39,529.77
5/21/2014,86.62,538.94
5/22/2014,86.75,545.06
5/23/2014,87.7329,552.7
5/27/2014,89.38,565.95
5/28/2014,89.14,561.68
5/29/2014,90.77,560.08
5/30/2014,90.43,559.89
6/2/2014,89.81,553.93
6/3/2014,91.08,544.94
6/4/2014,92.12,544.66
6/5/2014,92.4786,553.9
6/6/2014,92.22,556.33
6/9/2014,93.7,562.12
6/10/2014,94.25,560.55
6/11/2014,93.86,558.84
6/12/2014,92.29,551.35
6/13/2014,91.28,551.76
6/16/2014,92.2,544.28
6/17/2014,92.08,543.01
6/18/2014,92.18,553.37
6/19/2014,91.86,554.9
6/20/2014,90.91,556.36
6/23/2014,90.83,564.95
6/24/2014,90.28,564.62
6/25/2014,90.36,578.65
6/26/2014,90.9,576
6/27/2014,91.98,577.24
6/30/2014,92.93,575.28
7/1/2014,93.52,582.67
7/2/2014,93.48,582.335
7/3/2014,94.03,584.73
7/7/2014,95.968,582.25
7/8/2014,95.35,571.09
7/9/2014,95.39,576.08
7/10/2014,95.035,571.1
7/11/2014,95.22,579.18
7/14/2014,96.45,584.87
7/15/2014,95.32,584.78
7/16/2014,94.78,582.66
7/17/2014,93.0899,573.7299
7/18/2014,94.43,595.08
7/21/2014,93.939,589.47
7/22/2014,94.72,594.74
7/23/2014,97.19,595.98
7/24/2014,97.03,593.35
7/25/2014,97.671,589.02
7/28/2014,99.02,590.6
7/29/2014,98.38,585.61
7/30/2014,98.15,587.42
7/31/2014,95.6,571.6
8/1/2014,96.13,566.07
8/4/2014,95.59,573.15
8/5/2014,95.12,565.07
8/6/2014,94.96,566.374
8/7/2014,94.48,563.36
8/8/2014,94.74,568.77
8/11/2014,95.99,567.88
8/12/2014,95.97,562.73
8/13/2014,97.24,574.78
8/14/2014,97.5,574.65
8/15/2014,97.98,573.48
8/18/2014,99.16,582.16
8/19/2014,100.53,586.86
8/20/2014,100.57,584.49
8/21/2014,100.58,583.37
8/22/2014,101.32,582.56
8/25/2014,101.54,580.2
8/26/2014,100.889,577.86
8/27/2014,102.13,571
8/28/2014,102.25,569.2
8/29/2014,102.5,571.6
9/2/2014,103.3,577.33
9/3/2014,98.94,577.94
9/4/2014,98.12,581.98
9/5/2014,98.97,586.08
9/8/2014,98.36,589.72
9/9/2014,97.99,581.01
9/10/2014,101,583.1
9/11/2014,101.43,581.35
9/12/2014,101.66,575.62
9/15/2014,101.63,573.1
9/16/2014,100.86,579.95
9/17/2014,101.58,584.77
9/18/2014,101.79,589.27
9/19/2014,100.96,596.08
9/22/2014,101.06,587.37
9/23/2014,102.64,581.13
9/24/2014,101.75,587.99
9/25/2014,97.87,575.06
9/26/2014,100.75,577.1
9/29/2014,100.11,576.36
9/30/2014,100.75,577.36
10/1/2014,99.18,568.27
10/2/2014,99.9,570.08
10/3/2014,99.62,575.28
10/6/2014,99.62,577.35
10/7/2014,98.75,563.74
10/8/2014,100.8,572.5
10/9/2014,101.02,560.88
10/10/2014,100.73,544.49
10/13/2014,99.81,533.21
10/14/2014,98.75,537.94
10/15/2014,97.54,530.03
10/16/2014,96.26,524.51
10/17/2014,97.67,511.17
10/20/2014,99.76,520.84
10/21/2014,102.47,526.54
10/22/2014,102.99,532.71
10/23/2014,104.83,543.98
10/24/2014,105.22,539.78
10/27/2014,105.11,540.77
10/28/2014,106.74,548.9
10/29/2014,107.34,549.33
10/30/2014,106.98,550.31
10/31/2014,108,559.08
11/3/2014,109.4,555.22
11/4/2014,108.6,554.11
11/5/2014,108.86,545.92
11/6/2014,108.7,542.04
11/7/2014,109.01,541.01
11/10/2014,108.83,547.49
11/11/2014,109.7,550.29
11/12/2014,111.25,547.31
11/13/2014,112.82,545.38
11/14/2014,114.18,544.4
11/17/2014,113.99,536.51
11/18/2014,115.47,535.03
11/19/2014,114.67,536.99
11/20/2014,116.31,534.83
11/21/2014,116.47,537.5
11/24/2014,118.625,539.27
11/25/2014,117.6,541.08
11/26/2014,119,540.37
11/28/2014,118.93,541.83
12/1/2014,115.07,533.8
12/2/2014,114.63,533.75
12/3/2014,115.93,531.32
12/4/2014,115.49,537.31
12/5/2014,115,525.26
12/8/2014,112.4,526.98
12/9/2014,114.12,533.37
12/10/2014,111.95,526.06
12/11/2014,111.62,528.34
12/12/2014,109.73,518.66
12/15/2014,108.225,513.8
12/16/2014,106.745,495.39
12/17/2014,109.41,504.89
12/18/2014,112.65,511.1
12/19/2014,111.78,516.35
12/22/2014,112.94,524.87
12/23/2014,112.54,530.59
12/24/2014,112.01,528.77
12/26/2014,113.99,534.03
12/29/2014,113.91,530.33
12/30/2014,112.52,530.42
12/31/2014,110.38,526.4
1/2/2015,109.33,524.81
1/5/2015,106.25,513.87
1/6/2015,106.26,501.96
1/7/2015,107.75,501.1
1/8/2015,111.89,502.68
1/9/2015,112.01,496.17
1/12/2015,109.25,492.55
1/13/2015,110.22,496.18
1/14/2015,109.8,500.87
1/15/2015,106.82,501.79
1/16/2015,105.99,508.08
1/20/2015,108.72,506.9
1/21/2015,109.55,518.04
1/22/2015,112.4,534.39
1/23/2015,112.98,539.95
1/26/2015,113.1,535.21
1/27/2015,109.14,518.63
1/28/2015,115.31,510
1/29/2015,118.9,510.66
1/30/2015,117.16,534.52
2/2/2015,118.63,528.48
2/3/2015,118.65,529.24
2/4/2015,119.56,522.76
2/5/2015,119.94,527.58
2/6/2015,118.93,531
2/9/2015,119.72,527.83
2/10/2015,122.02,536.94
2/11/2015,124.88,535.97
2/12/2015,126.46,542.93
2/13/2015,127.08,549.01
2/17/2015,127.83,542.84
2/18/2015,128.715,539.7
2/19/2015,128.45,542.87
2/20/2015,129.495,538.95
2/23/2015,133,531.91
2/24/2015,132.17,536.09
2/25/2015,128.79,543.87
2/26/2015,130.415,555.48
2/27/2015,128.46,558.4
3/2/2015,129.09,571.34
3/3/2015,129.36,573.64
3/4/2015,128.54,573.37
3/5/2015,126.41,575.33
3/6/2015,126.6,567.685
3/9/2015,127.14,568.85
3/10/2015,124.51,555.01
3/11/2015,122.24,551.18
3/12/2015,124.45,555.51
3/13/2015,123.59,547.32
3/16/2015,124.95,554.51
3/17/2015,127.04,550.84
3/18/2015,128.47,559.5
3/19/2015,127.495,557.99
3/20/2015,125.9,560.36
3/23/2015,127.21,558.81
3/24/2015,126.69,570.19
3/25/2015,123.38,558.785
3/26/2015,124.24,555.17
3/27/2015,123.25,548.34
3/30/2015,126.37,552.03
3/31/2015,124.43,548
4/1/2015,124.25,542.56
4/2/2015,125.32,535.53
4/6/2015,127.35,536.765
4/7/2015,126.01,537.02
4/8/2015,125.6,541.61
4/9/2015,126.56,540.78
4/10/2015,127.1,540.01
4/13/2015,126.85,539.17
4/14/2015,126.3,530.39
4/15/2015,126.78,532.53
4/16/2015,126.17,533.8
4/17/2015,124.75,524.05
4/20/2015,127.6,535.38
4/21/2015,126.91,533.97
4/22/2015,128.62,539.365
4/23/2015,129.67,547
4/24/2015,130.28,565.06
4/27/2015,132.65,555.37
4/28/2015,130.56,553.68
4/29/2015,128.64,549.08
4/30/2015,125.15,537.34
